Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,138,0.0001,20,lstm,0.02187320283333701,0.0024661916607999117,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,139,0.0001,20,lstm,0.021276502754859705,0.002453165374382604,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,140,0.0001,20,lstm,0.021466657156324995,0.002450845264822817,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,141,0.0001,20,lstm,0.02130520369817493,0.0024577745057964367,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,142,0.0001,20,lstm,0.021282556917398207,0.0024314456990062972,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,143,0.0001,20,lstm,0.02164040279564678,0.002437349465954911,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,144,0.0001,20,lstm,0.020973015962148546,0.0024270733458676445,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,145,0.0001,20,lstm,0.02132411897232536,0.002425332167639811,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,146,0.0001,20,lstm,0.02114150822112557,0.0024145475259955912,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,147,0.0001,20,lstm,0.021437314101144352,0.00241674783094848,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,148,0.0001,20,lstm,0.021244957569926497,0.0024091163407694797,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,149,0.0001,20,lstm,0.021307358871244134,0.002396692857187533,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,150,0.0001,20,lstm,0.02077234657080744,0.0024027658486807583,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,151,0.0001,20,lstm,0.021243501825117937,0.0023980667141226273,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,152,0.0001,20,lstm,0.020829517459396714,0.0023859167943379818,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
